brand_key,brand_name,region,currency,fact_name,fact_value,fact_quote,official_source,valid_from,valid_to,first_seen,last_reviewed_at,last_changed,change_detail,fetch_status
anker,Anker,US,USD,coupon_stacking_rule,Cannot be combined with other discounts,Sign up through Anker's new-user offer page to receive an exclusive code for 15% off a first purchase. The official page says the code expires 14 days after issue and cannot be combined with other discounts.,https://www.anker.com/new-users-offer,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,coupon_validity_period,14 days after issue,Sign up through Anker's new-user offer page to receive an exclusive code for 15% off a first purchase. The official page says the code expires 14 days after issue and cannot be combined with other discounts.,https://www.anker.com/new-users-offer,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,first_order_discount,15%,Sign up through Anker's new-user offer page to receive an exclusive code for 15% off a first purchase. The official page says the code expires 14 days after issue and cannot be combined with other discounts.,https://www.anker.com/new-users-offer,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,free_shipping_method,Standard shipping,"Anker's U.S. shipping policy lists free standard shipping on all orders, with delivery generally stated as 3–7 business days.",https://www.anker.com/policies/shipping-policy,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,free_shipping_scope,All orders,"Anker's U.S. shipping policy lists free standard shipping on all orders, with delivery generally stated as 3–7 business days.",https://www.anker.com/policies/shipping-policy,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,referral_discount,10% for both referral participants,Anker's Hot Deals hub lists 10% off for teachers and students and 10% referral savings for both participants. Follow the official eligibility and claim flow.,https://www.anker.com/hot-deals,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,shipping_transit_time,3–7 business days,"Anker's U.S. shipping policy lists free standard shipping on all orders, with delivery generally stated as 3–7 business days.",https://www.anker.com/policies/shipping-policy,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anker,Anker,US,USD,student_discount,10% for teachers and students,Anker's Hot Deals hub lists 10% off for teachers and students and 10% referral savings for both participants. Follow the official eligibility and claim flow.,https://www.anker.com/hot-deals,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anycubic,ANYCUBIC,US,USD,discount_threshold,$100 printer purchase,"Submit an email through the active 11th Anniversary promotion to receive the printer coupon. The official article states the event runs September 2–October 8, 2026.",https://store.anycubic.com/blogs/news/anycubic-11th-anniversary-sale-2026-3d-printer-discount-material-deals,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anycubic,ANYCUBIC,US,USD,promotion_period,"September 2–October 8, 2026","Submit an email through the active 11th Anniversary promotion to receive the printer coupon. The official article states the event runs September 2–October 8, 2026.",https://store.anycubic.com/blogs/news/anycubic-11th-anniversary-sale-2026-3d-printer-discount-material-deals,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
anycubic,ANYCUBIC,US,USD,signup_discount,$10 off,"Submit an email through the active 11th Anniversary promotion to receive the printer coupon. The official article states the event runs September 2–October 8, 2026.",https://store.anycubic.com/blogs/news/anycubic-11th-anniversary-sale-2026-3d-printer-discount-material-deals,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
aosu,AOSU,US,USD,cancellation_window,Request within 24 hours of payment; unavailable after shipment,"Cancellation should be requested within 24 hours of payment; shipped orders cannot be changed or canceled, and customers pay return shipping under the stated policy.",https://www.aosulife.com/pages/return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,free_shipping_scope,Orders to the United States,AOSU provides free shipping for orders to the United States and the other countries listed in its official shipping policy.,https://www.aosulife.com/pages/shipping-delivery-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,promotion_discount,Up to 65%,AOSU's official store banner displayed a Labor Day sale of up to 65% off when checked. Confirm the product price and availability on the official site before paying.,https://www.aosulife.com/pages/sales,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,refund_processing_time,3–5 business days after receipt and inspection,"After an approved return is received and inspected, AOSU says funds are credited to the original payment method within 3–5 business days.",https://www.aosulife.com/pages/return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,return_authorization_requirement,Authorization required,"Products purchased from AOSU's official site may be returned within 30 days after receipt, subject to authorization and condition requirements.",https://www.aosulife.com/pages/return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,return_condition,Official-site purchases subject to stated condition requirements,"Products purchased from AOSU's official site may be returned within 30 days after receipt, subject to authorization and condition requirements.",https://www.aosulife.com/pages/return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,return_shipping_responsibility,Customer pays return shipping,"Cancellation should be requested within 24 hours of payment; shipped orders cannot be changed or canceled, and customers pay return shipping under the stated policy.",https://www.aosulife.com/pages/return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,return_window,30 days after receipt,"Products purchased from AOSU's official site may be returned within 30 days after receipt, subject to authorization and condition requirements.",https://www.aosulife.com/pages/return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,shipping_processing_time,1–2 business days,"Order processing begins within 1–2 business days, and the policy lists 2–5 business days for U.S. transit.",https://www.aosulife.com/pages/shipping-delivery-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,shipping_transit_time,2–5 business days in the United States,"Order processing begins within 1–2 business days, and the policy lists 2–5 business days for U.S. transit.",https://www.aosulife.com/pages/shipping-delivery-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,warranty_remedy,Product or necessary components may be replaced without charge,AOSU provides a 12-month warranty from purchase for material or workmanship defects and may replace the product or necessary components without charge.,https://www.aosulife.com/pages/warranty-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aosu,AOSU,US,USD,warranty_term,12 months from purchase,AOSU provides a 12-month warranty from purchase for material or workmanship defects and may replace the product or necessary components without charge.,https://www.aosulife.com/pages/warranty-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
aqara,Aqara,US,USD,bundle_discount,"8% at $250+, 12% at $400+, and 15% at $800+","Aqara's Build Your System page lists 8% off bundle orders of $250+, 12% off $400+, and 15% off $800+. The discount is tied to qualifying bundle orders.",https://us.aqara.com/pages/build-your-system,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
aqara,Aqara,US,USD,coupon_stacking_rule,One promo code per order,"The Aqara deals collection shows current product and bundle prices. The cart permits one promo code per order, but no reusable public code is claimed here.",https://us.aqara.com/collections/deals,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
aqara,Aqara,US,USD,member_discount,Points redeemable for available account rewards,"Join the official rewards program, earn Aqara Points, and redeem available rewards from the member account. Reward availability and shipping conditions are shown in the account flow.",https://us.aqara.com/pages/aqara-rewards-hub,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
baseus,Baseus,US,USD,defect_claim_window,30 business days after receipt,Products with a manufacturing defect can enter Baseus's after-sales process within 30 business days of receipt.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,free_shipping_threshold,$20,Orders over $20 ship free. Baseus lists a $6.90 shipping fee for orders below $20.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,return_condition,New condition,A non-defective product may be returned within seven business days of receipt when it remains in new condition.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,return_shipping_responsibility,Buyer pays for non-quality claims; Baseus pays when it requests inspection return,The buyer pays return shipping for a non-quality claim; Baseus pays when it requests a return for product inspection.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,return_window,7 business days after receipt for non-defective products,A non-defective product may be returned within seven business days of receipt when it remains in new condition.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,shipping_fee_below_threshold,$6.90,Orders over $20 ship free. Baseus lists a $6.90 shipping fee for orders below $20.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,shipping_method,Standard shipping,The U.S. policy lists 1–2 business days for processing and 3–8 business days for standard shipping after processing.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,shipping_processing_time,1–2 business days,The U.S. policy lists 1–2 business days for processing and 3–8 business days for standard shipping after processing.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,shipping_transit_time,3–8 business days after processing,The U.S. policy lists 1–2 business days for processing and 3–8 business days for standard shipping after processing.,https://www.baseus.com/pages/shipping-return-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,warranty_replacement_term,Replacement keeps the remaining warranty from the original order,Coverage starts when the product is received. A quality-related replacement keeps the remaining warranty period from the original order.,https://www.baseus.com/pages/warranty-information,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,warranty_start_basis,Product receipt date,Coverage starts when the product is received. A quality-related replacement keeps the remaining warranty period from the original order.,https://www.baseus.com/pages/warranty-information,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
baseus,Baseus,US,USD,warranty_term,18–24 months depending on product,"Baseus products ordered on or after January 1, 2024 have warranty periods ranging from 18 to 24 months, depending on the product.",https://www.baseus.com/pages/warranty-information,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,delivery_issue_reporting_window,14 days after receipt,"Damage, defects, or incorrect items found after delivery should be reported within 14 days of receipt.",https://belffin.com/pages/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,free_shipping_scope,48 contiguous U.S. states,"Belffin offers free shipping to the 48 contiguous states. Hawaii, Puerto Rico, and Alaska have customer-paid shipping, and P.O., APO, and FPO addresses are excluded.",https://belffin.com/pages/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,optional_protection_plan,Optional 3-year or 5-year plan,"Belffin sells optional three- and five-year protection plans through the cart, with the coverage and exclusions shown on the official warranty page.",https://belffin.com/pages/product-warranty,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,return_authorization_requirement,Approval required before shipment,"Return requests must be submitted within 30 days of receipt, approved before shipment, and sent back unused in original packaging.",https://belffin.com/pages/return-refund-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,return_condition,Unused and in original packaging,"Return requests must be submitted within 30 days of receipt, approved before shipment, and sent back unused in original packaging.",https://belffin.com/pages/return-refund-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,return_shipping_responsibility,Customer pays non-quality returns; Belffin covers approved quality returns subject to policy limit,"Customers pay non-quality return shipping. Belffin covers approved quality-related return shipping, subject to the compensation limit in its policy.",https://belffin.com/pages/return-refund-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,return_window,30 days after receipt,"Return requests must be submitted within 30 days of receipt, approved before shipment, and sent back unused in original packaging.",https://belffin.com/pages/return-refund-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,shipping_processing_time,1–2 business days,In-stock items typically ship in 1–2 business days and then take 2–5 business days to reach most U.S. locations.,https://belffin.com/pages/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,shipping_restriction,"Alaska, Hawaii, and Puerto Rico require paid shipping; P.O., APO, and FPO addresses excluded","Belffin offers free shipping to the 48 contiguous states. Hawaii, Puerto Rico, and Alaska have customer-paid shipping, and P.O., APO, and FPO addresses are excluded.",https://belffin.com/pages/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,shipping_transit_time,2–5 business days to most U.S. locations,In-stock items typically ship in 1–2 business days and then take 2–5 business days to reach most U.S. locations.,https://belffin.com/pages/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
belffin,Belffin,US,USD,warranty_term,1 year from original purchase date,All Belffin products include a one-year limited warranty from the original purchase date for manufacturing defects and quality issues under normal residential use.,https://belffin.com/pages/product-warranty,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
bluetti,BLUETTI,US,USD,free_shipping_scope,"All orders, subject to listed regional exclusions","BLUETTI's U.S. shipping policy states free shipping on all orders, generally with 5–7 working-day delivery for in-stock products, subject to listed regional exclusions.",https://www.bluettipower.com/pages/shipping-policy,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
bluetti,BLUETTI,US,USD,shipping_transit_time,5–7 working days for in-stock products,"BLUETTI's U.S. shipping policy states free shipping on all orders, generally with 5–7 working-day delivery for in-stock products, subject to listed regional exclusions.",https://www.bluettipower.com/pages/shipping-policy,,,2026-09-12,2026-09-12,2026-09-12,initial publication,OK
della,DELLA,US,USD,free_shipping_method,Ground shipping,"DELLA provides free ground shipping within the 48 contiguous U.S. states; Alaska, Hawaii, and Puerto Rico are excluded.",https://dellahome.com/policies/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
della,DELLA,US,USD,free_shipping_scope,48 contiguous U.S. states,"DELLA provides free ground shipping within the 48 contiguous U.S. states; Alaska, Hawaii, and Puerto Rico are excluded.",https://dellahome.com/policies/shipping-policy,,,2026-09-13,2026-09-13,2026-09-13,initial publication,OK
