"brand","slug","page_url","primary_query","public_code_status","public_codes","offer","conditions","official_source","source_host","verified_at"
"Garmin","garmin","https://recentprofit.com/brands/garmin","garmin promo code","not_confirmed","","Official promotions and rebates","Use Garmin's U.S. promotions hub to check the products, dates, and eligibility shown for each current offer. No general public code is claimed here.","https://www.garmin.com/en-US/c/promotions/","www.garmin.com","2026-09-12"
"Garmin","garmin","https://recentprofit.com/brands/garmin","garmin promo code","not_confirmed","","Official U.S. shipping terms","Shipping options and any order-specific charges or benefits are shown by Garmin. Confirm the current terms before placing the order.","https://www.garmin.com/en-US/shop/shipping/","www.garmin.com","2026-09-12"
"Anker","anker","https://recentprofit.com/brands/anker","anker promo code","not_confirmed","","15% new-user code","Sign up through Anker's new-user offer page to receive an exclusive code for 15% off a first purchase. The official page says the code expires 14 days after issue and cannot be combined with other discounts.","https://www.anker.com/new-users-offer","www.anker.com","2026-09-12"
"Anker","anker","https://recentprofit.com/brands/anker","anker promo code","not_confirmed","","Education and referral offers","Anker's Hot Deals hub lists 10% off for teachers and students and 10% referral savings for both participants. Follow the official eligibility and claim flow.","https://www.anker.com/hot-deals","www.anker.com","2026-09-12"
"Anker","anker","https://recentprofit.com/brands/anker","anker promo code","not_confirmed","","Free standard shipping","Anker's U.S. shipping policy lists free standard shipping on all orders, with delivery generally stated as 3–7 business days.","https://www.anker.com/policies/shipping-policy","www.anker.com","2026-09-12"
"soundcore","soundcore","https://recentprofit.com/brands/soundcore","soundcore promo code","not_confirmed","","$1 deposit for a $30 launch code","Submit an email and pay the $1 deposit during the stated Sleep 4 or Sleep 4 Pro promotion period. soundcore says the single-use $30 code is emailed after launch and remains valid for 30 days after issue.","https://www.soundcore.com/official-rules-for-sleep-earbuds","www.soundcore.com","2026-09-12"
"soundcore","soundcore","https://recentprofit.com/brands/soundcore","soundcore promo code","not_confirmed","","Free standard shipping","soundcore's U.S. shipping policy lists free standard shipping for all customers, generally in 3–7 business days.","https://www.soundcore.com/policies/shipping-policy","www.soundcore.com","2026-09-12"
"Jackery","jackery","https://recentprofit.com/brands/jackery","jackery promo code","not_confirmed","","5% verified-student code","Complete Jackery's student verification flow to receive an additional 5% stackable discount on eligible products. New releases, refurbished products, and special collaborations are excluded.","https://www.jackery.com/pages/student-discount","www.jackery.com","2026-09-12"
"Jackery","jackery","https://recentprofit.com/brands/jackery","jackery promo code","not_confirmed","","5% eligible-group code","Medical professionals, first responders, military members, and teachers can verify eligibility for an additional 5% code under the official special-discount terms.","https://www.jackery.com/pages/special-discount","www.jackery.com","2026-09-12"
"Jackery","jackery","https://recentprofit.com/brands/jackery","jackery promo code","not_confirmed","","Official sale prices","Jackery's deals collection shows current product markdowns. These displayed prices do not require a public code unless the product page states otherwise.","https://www.jackery.com/collections/deals","www.jackery.com","2026-09-12"
"BLUETTI","bluetti","https://recentprofit.com/brands/bluetti","bluetti promo code","not_confirmed","","Power Week sale and member pricing","Use the official Power Week page for the currently displayed product prices, member-only offers, and BLUETTI Bucks benefits. No third-party code is included here.","https://www.bluettipower.com/pages/power-week","www.bluettipower.com","2026-09-12"
