brand_key,brand_name,region,currency,bundle_discount,bundle_discount__status,cancellation_window,cancellation_window__status,coupon_issuance_frequency,coupon_issuance_frequency__status,coupon_offer,coupon_offer__status,coupon_stacking_rule,coupon_stacking_rule__status,coupon_usage_limit,coupon_usage_limit__status,coupon_validity_period,coupon_validity_period__status,defect_claim_window,defect_claim_window__status,defect_return_remedy,defect_return_remedy__status,delivery_issue_reporting_window,delivery_issue_reporting_window__status,discount_eligibility,discount_eligibility__status,discount_scope,discount_scope__status,discount_threshold,discount_threshold__status,eligible_group_discount,eligible_group_discount__status,exchange_window,exchange_window__status,first_order_discount,first_order_discount__status,free_shipping_method,free_shipping_method__status,free_shipping_scope,free_shipping_scope__status,free_shipping_threshold,free_shipping_threshold__status,member_discount,member_discount__status,optional_protection_plan,optional_protection_plan__status,promotion_discount,promotion_discount__status,promotion_period,promotion_period__status,promotion_schedule,promotion_schedule__status,public_coupon,public_coupon__status,referral_discount,referral_discount__status,refund_processing_time,refund_processing_time__status,refurbished_warranty_term,refurbished_warranty_term__status,replacement_processing_time,replacement_processing_time__status,restocking_fee,restocking_fee__status,return_authorization_requirement,return_authorization_requirement__status,return_condition,return_condition__status,return_label_delivery_time,return_label_delivery_time__status,return_method,return_method__status,return_shipping_responsibility,return_shipping_responsibility__status,return_window,return_window__status,shipping_address_change_rule,shipping_address_change_rule__status,shipping_destination_scope,shipping_destination_scope__status,shipping_fee_below_threshold,shipping_fee_below_threshold__status,shipping_method,shipping_method__status,shipping_processing_time,shipping_processing_time__status,shipping_restriction,shipping_restriction__status,shipping_transit_time,shipping_transit_time__status,signup_discount,signup_discount__status,student_discount,student_discount__status,subscription_discount,subscription_discount__status,warranty_extension,warranty_extension__status,warranty_registration_requirement,warranty_registration_requirement__status,warranty_remedy,warranty_remedy__status,warranty_replacement_term,warranty_replacement_term__status,warranty_scope,warranty_scope__status,warranty_shipping_responsibility,warranty_shipping_responsibility__status,warranty_start_basis,warranty_start_basis__status,warranty_term,warranty_term__status
anker,Anker,US,USD,,,,,,,,,Cannot be combined with other discounts,OK,,,14 days after issue,OK,,,,,,,,,,,,,,,,,15%,OK,Standard shipping,OK,All orders,OK,,,,,,,,,,,,,,,10% for both referral participants,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3–7 business days,OK,,,10% for teachers and students,OK,,,,,,,,,,,,,,,,,,
anycubic,ANYCUBIC,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,$100 printer purchase,OK,,,,,,,,,,,,,,,,,,,"September 2–October 8, 2026",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$10 off,OK,,,,,,,,,,,,,,,,,,,,
aosu,AOSU,US,USD,,,Request within 24 hours of payment; unavailable after shipment,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orders to the United States,OK,,,,,,,Up to 65%,OK,,,,,,,,,3–5 business days after receipt and inspection,OK,,,,,,,Authorization required,OK,Official-site purchases subject to stated condition requirements,OK,,,,,Customer pays return shipping,OK,30 days after receipt,OK,,,,,,,,,1–2 business days,OK,,,2–5 business days in the United States,OK,,,,,,,,,,,Product or necessary components may be replaced without charge,OK,,,,,,,,,12 months from purchase,OK
aqara,Aqara,US,USD,"8% at $250+, 12% at $400+, and 15% at $800+",OK,,,,,,,One promo code per order,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points redeemable for available account rewards,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseus,Baseus,US,USD,,,,,,,,,,,,,,,30 business days after receipt,OK,,,,,,,,,,,,,,,,,,,,,$20,OK,,,,,,,,,,,,,,,,,,,,,,,,,New condition,OK,,,,,Buyer pays for non-quality claims; Baseus pays when it requests inspection return,OK,7 business days after receipt for non-defective products,OK,,,,,$6.90,OK,Standard shipping,OK,1–2 business days,OK,,,3–8 business days after processing,OK,,,,,,,,,,,,,Replacement keeps the remaining warranty from the original order,OK,,,,,Product receipt date,OK,18–24 months depending on product,OK
belffin,Belffin,US,USD,,,,,,,,,,,,,,,,,,,14 days after receipt,OK,,,,,,,,,,,,,,,48 contiguous U.S. states,OK,,,,,Optional 3-year or 5-year plan,OK,,,,,,,,,,,,,,,,,,,Approval required before shipment,OK,Unused and in original packaging,OK,,,,,Customer pays non-quality returns; Belffin covers approved quality returns subject to policy limit,OK,30 days after receipt,OK,,,,,,,,,1–2 business days,OK,"Alaska, Hawaii, and Puerto Rico require paid shipping; P.O., APO, and FPO addresses excluded",OK,2–5 business days to most U.S. locations,OK,,,,,,,,,,,,,,,,,,,,,1 year from original purchase date,OK
bluetti,BLUETTI,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All orders, subject to listed regional exclusions",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5–7 working days for in-stock products,OK,,,,,,,,,,,,,,,,,,,,,,
della,DELLA,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ground shipping,OK,48 contiguous U.S. states,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,Original operating condition with all accessories and packaging,OK,,,,,Customer pays for non-defect returns,OK,30 days,OK,,,,,,,,,1 business day normally; 2–4 business days in peak seasons,OK,"Alaska, Hawaii, and Puerto Rico excluded",OK,1–3 business days after fulfillment,OK,,,,,,,,,Register within 100 days of purchase,OK,Replacement parts and their delivery may be covered in the first year,OK,,,,,Customer pays shipping after the first year,OK,,,Confirmed defects: first-year replacement-parts support; Registered qualifying mini-splits: lifetime parts coverage,OK
dreame,Dreame,US,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Official-store orders,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 days,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecoflow,EcoFlow,US,USD,,,,,,,,,,,,,,,,,,,,,"Military, nurses, first responders, teachers, government, medical, and student groups",OK,,,,,Unique checkout code,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete and in original packaging; product-specific terms and fees apply,OK,,,,,,,30 days after receipt,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecovacs,ECOVACS,US,USD,,,,,,,Four 15%-off accessory coupons,OK,Accessory coupons cannot be stacked with each other,OK,Unique and account-bound,OK,"Through June 30, 2027",OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edifier,Edifier,US,USD,,,,,,,,,,,,,,,,,,,,,Join the official Discord community using the store-account email,OK,,,,,,,,,10%,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Original condition with accessories and packaging,OK,,,,,,,30 days after delivery,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elegoo,ELEGOO,US,USD,,,,,,,$20 off with code EKSMS20,OK,Cannot be combined with other promotions,OK,Single use,OK,,,,,,,,,,,,,Order over $300,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
